GeneSymbol,EntrezID
NPC1,4864
STAT1,6772
IRF3,3661
TBK1,29110
CD4,920
CD44,960
TLR4,7099
SOCS1,8651
GP2,2813
TFPI,7035
CFLAR,8837
DAG1,1605
KPNA1,3836
PRNT,149830
ADNP,23394
FAS,355
CD68,968
BST2,684
STAT2,6773
FURIN,5045
GC,2638
SP6,80320
CD163,9332
SI,6476
SPR,6697
CRP,1401
RPS3A,6189
SIGLEC1,6614
HIP1R,9026
TF,7018
IL6,3569
ISG15,9636
TAT,6898
CDR2,1039
CASP3,836
CD14,929
AKIP1,56672
PRKACA,5566
VASP,7408
CREB1,1385
SERPINB2,5055
G3BP1,10146
EMILIN1,11117
CTSG,1511
PRTN3,5657
MARCKS,4082
MX1,4599
IL2,3558
HAVCR1,26762
JUN,3725
CIC,23152
ABL1,25
NEDD4,4734
DOK1,1796
ACE2,59272
HR,55806
BID,637
CD28,940
TIMD4,91937
IRF1,3659
GBP5,115362
ARG1,383
STAT3,6774
JAK1,3716
TYK2,7297
NXF1,10482
TRIM6,117854
SRPK1,6732
SRPK2,6733
ASGR1,432
CD209,30835
CLEC4M,10332
CLEC10A,10462
CLEC4G,339390
XKR8,55113
TSG101,7251
CAD,790
IDS,3423
ST13,6767
ST14,6768
ST18,9705
AGT,183
PC,5091
SEC13,6396
SMARCC2,6601
RPN1,6184
F5,2153
IRF7,3665
IFNB1,3456
EIF2AK2,5610
CP,1356
SAA2,6289
LRG1,116844
C1S,716
C4B,721
CCR5,1234
CXCR4,7852
TYRO3,7301
AXL,558
CLEC5A,23601
MERTK,10461
CAT,847
HECTD1,25831
TG,7038
CCR2,729230
APCS,325
GAPDH,2597
CD40,958
CD80,941
APC,324
C6,729
CPE,1363
TBX21,30009
ICOS,29851
MVD,4597
TLR2,7097
TLR3,7098
TLR7,51284
MYD88,4615
TRAF6,7189
IRAK4,51135
NHS,4810
IGHV6-1,28385
IGKV4-1,28908
HLA-DPA1,3113
HRG,3273
SERPINC1,462
KLKB1,3818
SERPIND1,3053
KNG1,3827
FGG,2266
AFP,174
F11,2160
WWP2,11060
BAG3,9531
ALB,213
FER,2241
LCK,3932
CD69,969
CCR7,1236
CD38,952
KPNA5,3841
KPNA6,23633
DYNLL1,8655
ATMIN,23300
MAX,4149
AP1M1,8907
AP1G1,164
BCR,613
TIFA,92610
NEB,4703
F3,2152
LAMP1,3916
CD19,930
MIP,4284
TNF,7124
TH,7054
CD86,942
CD83,9308
F9,2158
ASS1,445
MAVS,57506
CD2,914
RAC1,5879
ADA,100
PML,5371
IRF9,10379
VAMP5,10791
GBP4,115361
IFIT3,3437
IFI27,3429
DIO2,1734
HSPA1A,3303
MAPK11,5600
NTRK1,4914
FLT4,2324
HSPA8,3312
HSP90AB1,3326
YWHAZ,7534
ARFGAP1,55738
ANXA5,308
C2,717
IQGAP1,8826
SEC24C,9632
RAB11A,8766
MET,4233
TYR,7299
ATF4,468
MAP3K5,4217
IFI6,2537
BTN3A3,10384
IFITM3,10410
AKT3,10000
ODC1,4953
FLT1,2321
CCDC92,80212
PFKFB3,5209
GBP2,2634
DCP1A,55802
SET,6418
SMYD3,64754
RUVBL2,10856
PIAS1,8554
CTLA4,1493
GDNF,2668
HTT,3064
ABCD1,215
IL2RG,3561
MECP2,4204
PABPN1,8106
LIMK1,3984
LRRK2,120892
FLT3,2322
ROCK2,9475
VWF,7450
NPC2,10577
ZAP70,7535
MAP3K7,6885
TRAM1,23471
HSPA1B,3304
CXCL10,3627
EHF,26298
ATM,472
TOP2A,7153
CGAS,115004
RIOK2,55781
CTSB,1508
CTSL,1514
SPNS1,83985
UVRAG,7405
PIKFYVE,200576
FIG4,9896
EXT1,2131
PIK3C3,5289
TIMM10,26519
MMS19,64210
CIAO2B,51647
UGDH,7358
TM9SF2,9375
PTAR1,375743
HSP90B1,7184
UNC45A,55898
ITGB1,3688
ITGB5,3693
ITGAV,3685
CNOT10,25904
TAF5L,27097
TAF6L,10629
TADA2B,93624
PABPC1,26986
IMPACT,55364
STRAP,11171
TNFAIP2,7127
CAPG,822
SMURF2,64750
ITCH,83737
WWP1,11059
USP5,8078
SOCS3,9021
BRD3,8019
BRD4,23476
AGRN,375790
CKB,1152
FUCA2,2519
GALNT2,2590
HEXB,3074
HPRT1,3251
S100A8,6279
TMEM132A,54972
TPP1,1200
TUBA1B,10376
WFIKKN2,124857
PPIB,5479
PROZ,8858
S100B,6285
GNPTAB,79158
STAU1,6780
HNRNPL,3191
ILF2,3608
ILF3,3609
GALNT1,2589
MYC,4609
ADAR,103
RBBP6,5930
HERC5,51191
HERC4,26091
NES,10763
SUMO2,6613
GCA,25801
GCG,2641
GAA,2548
PDF,64146
EIF3B,8662
CD74,972
SLN,6588
MLN,4295
USP18,11274
ISG20,3669
EGF,1950
EGFR,1956
KIT,3815
PIP,5304
PTMS,5763
ATP1A1,476
CDK4,1019
CDK6,1021
HDAC1,3065
CD63,967
NPS,594857
ANKFY1,51479
BECN1,8678
ATG7,10533
AKT1,207
GSPT1,2935
DSP,1832
HNRNPUL1,11100
PEG10,23089
HAP1,9001
APEX2,27301
PRCC,5546
METTL3,56339
C5,727
CXCR5,643
CXCR3,2833
CCR6,1235
OSM,5008
TANK,10010
MBP,4155
TRIM25,7706
TRIM21,6737
IFNAR1,3454
MLKL,197259
SPHK1,8877
SPHK2,56848
XBP1,7494
C3,718
CD81,975
IFITM1,8519
HYAL2,8692
KEAP1,9817
CIITA,4261
RAN,5901
CCL5,6352
CSF1,1435
DDIT3,1649
CDKN1A,1026
GEM,2669
LTB,4050
TMPRSS2,7113
CCZ1,51622
PLN,5350
RBM4,5936
VIP,7432
SYK,6850
CARD9,64170
CANX,821
CALR,811
PDIA3,2923
ATG3,64422
ATG5,9474
RNF185,91445
HSPA5,3309
RNF26,79102
EDEM1,9695
EDEM2,55741
ABHD11,83451
ACO2,50
ACE,1636
EIF2A,83939
DDX39B,7919
MICA,100507436
HLA-A,3105
BTK,695
SRC,6714
ACTB,60
TOP1,7150
GP6,51206
PAICS,10606
CLC,1178
PTEN,5728
INPP5E,56623
IFIT1,3434
PSAP,5660
CD27,939
GAL,51083
HP,3240
MAG,4099
SLC39A9,55334
CSTB,1476
C1GALT1,56913
IGF2BP1,10642
PDHB,5162
RUVBL1,8607
RPAP3,79657
PIH1D1,55011
AFM,173
CPZ,8532
TSPO,706
PARP1,142
USP7,7874
IL10,3586
CD79A,973
IGF1R,3480
HGF,3082
RSAD2,91543
IFIT2,3433
GNA13,10672
WWOX,51741
LATS2,26524
LATS1,9113
DNAJA2,10294
HSPA4,3308
STIP1,10963
AMOT,154796
RAB14,51552
MCC,4163
UGCG,7357
GBP1,2633
HMBS,3145
VPS8,23355
VPS39,23339
DPP4,1803
XPO6,23214
SIRT1,23411
FCN1,2219
PTX3,5806
TPI1,7167
TIMP1,7076
TTR,7276
SOD3,6649
ACTG1,71
SERPINA3,12
CHI3L1,1116
SPARC,6678
SELENBP1,8991
PEBP1,5037
ALDOA,226
SERPINF1,5176
THY1,7070
KLK6,5653
SPARCL1,8404
IGFBP6,3489
IGFBP2,3485
CNDP1,84735
CST3,1471
NCAM1,4684
CLU,1191
CHGA,1113
CLSTN1,22883
FAM3C,10447
CDH2,1000
CHL1,10752
CNTN1,1272
APLP1,333
SCG3,29106
FCGBP,8857
TXN,7295
PTGDS,5730
GSN,2934
SOD1,6647
APOD,347
C9,735
PDC,5132
CDK2,1017
TTK,7272
NTS,4922
SDS,10993
CHMP6,79643
OAS1,4938
RAB11B,9230
MAP2,4133
TBP,6908
SERINC5,256987
IFITM2,10581
NSF,4905
LILRB1,10859
SGTA,6449
HMGB1,3146
MTOR,2475
ERBB2,2064
MXRA8,54587
SIRPA,140885
TRIM2,23321
SELL,6402
PLSCR1,5359
PDPK1,5170
TLR8,51311
TLR9,54106
IFNG,3458
BCAM,4059
DHODH,1723
JAK2,3717
HIF1A,3091
FGF2,2247
FGF7,2252
FGF10,2255
SAT1,6303
SMOX,54498
DHPS,1725
DOHH,83475
EIF5A,1984
KIR2DL4,3805
HLA-C,3107
KIR2DL2,3803
KIR2DS1,3806
TREM2,54209
CCL2,6347
SEC16A,9919
C7,730
CLDN1,9076
CDR1,1038
NPC1L1,29881
EFNB2,1948
EFNB3,1949
PAM,5066
SNN,8303
PIM1,5292
BAD,572
AQP5,362
BIRC5,332
ABCB1,5243
TYMS,7298
ZEB1,6935
LIF,3976
IL11RA,3590
LIFR,3977
CINP,51550
F2,2147
PIGS,94005
NMS,129521
SHE,126669
FCN2,2220
AP2M1,1173
GGA3,23163
ANP32A,8125
ANP32B,10541
CCAR2,57805
CGGBP1,8545
EEF1A1,1915
EEF1A1P5,158078
EEF1A2,1917
H3-3A,3020
H3-4,8290
H3-5,440093
H3C1,8350
H3C13,653604
H4C16,121504
HNRNPU,3192
KLHL7,55975
KPNB1,3837
MYO5A,4644
MYO5C,55930
NUP153,9972
POM121,9883
POM121C,100101267
PPAN,56342
RPS27,6232
RPS27L,51065
SLC25A3,5250
SMARCA4,6597
SMARCE1,6605
SPOP,8405
TUBA1C,84790
TUBB,203068
USP9X,8239
ATXN2L,11273
BAG2,9532
BAZ1B,9031
BLOC1S1,2647
BORCS5,118426
BORCS7,119032
DYNLL2,140735
EDC4,23644
FUS,2521
GART,2618
H2AC11,8969
H2AC12,85235
H2AC14,8331
H2AC18,8337
H2AC20,8338
H2AC25,92815
H2AC4,8335
H2AC6,8334
H2AC7,3013
H2AJ,55766
H2BC1,255626
H2BC10,8346
H2BC11,8970
H2BC12,85236
H2BC12L,54145
H2BC13,8340
H2BC14,8342
H2BC15,8341
H2BC17,8348
H2BC18,440689
H2BC21,8349
H2BC26,128312
H2BC3,3018
H2BC5,3017
H2BC9,8345
HNRNPA1,3178
HNRNPA1L2,144983
HNRNPA2B1,3181
HNRNPAB,3182
HNRNPF,3185
HNRNPH1,3187
HNRNPH2,3188
HNRNPH3,3189
MIB2,142678
NEFH,4744
RPL12,6136
RPL22,6146
RPLP0,6175
RPLP1,6176
TUBA1A,7846
REEP6,92840
PHB2,11331
FUT8,2530
TMX1,81542
GANAB,23193
PON2,5445
GPRASP1,9737
RIF1,55183
S100P,6286
PHB1,5245
IARS1,3376
LGALS8,3964
CLGN,1047
REEP5,7905
AIMP1,9255
NFATC3,4775
LGALS1,3956
DLAT,1737
PRKCSH,5589
LGALS3,3958
PSEN2,5664
YME1L1,10730
CCT7,10574
ANP32E,81611
SDF2L1,23753
RCC2,55920
SSR3,6747
SRPRB,58477
CHD4,1108
SLC1A5,6510
DDB1,1642
RBBP7,5931
LMNB1,4001
VDAC1,7416
RPS3,6188
DNAJA1,3301
BSG,682
HAX1,10456
PGRMC1,10857
TCERG1,10915
SPTLC1,10558
PHGDH,26227
PRKDC,5591
RBBP4,5928
TRIM28,10155
RCN2,5955
AIFM1,9131
MBD3,53615
TP53,7157
RPN2,6185
SLC25A5,292
UQCRH,7388
RPS17,6218
CALM3,808
H1-4,3008
COX5B,1329
PCNA,5111
ATP2A2,488
TCP1,6950
VDAC2,7417
CCT5,22948
TUFM,7284
TMED10,10972
EMD,2010
RAB7A,7879
SSR4,6748
RPS20,6224
LYZ,4069
HNRNPK,3190
GNB2,2783
GATAD2A,54815
BACC1,124944
FAF2,23197
PGAM5,192111
ZNF512,84450
CDC5L,988
POP1,10940
MYBBP1A,10514
CHLSN,84310
LLPH,84298
GNL3,26354
GTPBP4,23560
DDX24,57062
NAT10,55226
C8ORF33,65265
MRM3,55178
EXOSC5,56915
OLA1,29789
DDX18,8886
MYEF2,50804
ZNF629,23361
ABT1,29777
EXOSC1,51013
TBL2,26608
GTF3C5,9328
GTF3C3,9330
RRP1B,23076
SART3,9733
TSR1,55720
MAP7D1,55700
EXOSC6,118460
GPATCH4,54865
TRMT1L,81627
FBL,2091
RFC4,5984
RBM34,23029
POLR1G,10849
EXOSC10,5394
GTF3C1,2975
GRSF1,2926
PWP1,11137
GNL2,29889
BYSL,705
RRP9,9136
NPM3,10360
POLR1A,25885
H1-0,3005
RPS29,6235
RPS15,6209
RPL39,6170
RPS27A,6233
PPP2R2A,5520
SPATS2,65244
FTSJ3,117246
DDX54,79039
DNAJC9,23234
PTCD3,55037
YTHDC1,91746
QKI,9444
MRPL4,51073
WDR33,55339
XRN2,22803
PNN,5411
NCOA5,57727
FAM120A,23196
CPSF2,53981
ATXN10,25814
CPSF3,51692
ZC3H4,23211
MRPS17,51373
MRPS23,51649
RBM8A,9939
MRPS18B,28973
WTAP,9589
RNPS1,10921
SAFB,6294
ZNF326,284695
PABPC1L2B,645974
LARP1,23367
FIP1L1,81608
PTBP1,5725
RBMX,27316
NKRF,55922
CASC3,22794
MRPS22,56945
MRPS10,55173
MRPS35,60488
MRPS5,64969
MRPS11,64963
MRPS21,54460
MRPS9,64965
KMT2A,4297
CPSF1,29894
SAFB2,9667
MRPS14,63931
SRSF10,10772
SNRPC,6631
MATR3,9782
ZC3H18,124245
MRPL43,84545
GADD45GIP1,90480
MRPS31,10240
PDCD2,5134
GRN,2896
RO60,6738
REXO5,81691
TIMM8B,26521
TIMM13,26517
PARP10,84875
TIMM8A,1678
